"","CustomerID","Frequency","Recency","Monetary","rankR","rankF","rankM","groupRFM","Country","Customer_Segment"
"75",12431,240,68,902,5,5,5,555,"Australia","Loyal Customers"
"76",12431,240,68,902,5,5,5,555,"Belgium","Loyal Customers"
"77",12432,108,75,1139.49,5,2,5,525,"Norway","NULL"
"78",12433,420,33,920.95,5,5,5,555,"Norway","Loyal Customers"
"79",12434,54,117,198.13,4,1,2,412,"Australia","Potential Loyalist"
"80",12435,36,112,197.25,5,1,2,512,"Denmark","Potential Loyalist"
"81",12436,16,132,84.28,4,1,1,411,"Norway","Promising"
"82",12437,201,34,809.45,5,4,5,545,"France","Loyal Customers"
"83",12438,98,47,381.7,5,2,3,523,"Norway","Potential Loyalist"
"84",12441,11,399,40.71,1,1,1,111,"France","Lost Lowest"
"85",12442,12,36,40.08,5,1,1,511,"Spain","New Customers"
"86",12444,177,54,1119.13,5,4,5,545,"Norway","Loyal Customers"
"87",12445,4,55,31.95,5,1,1,511,"Spain","New Customers"
"88",12446,58,90,248.1,5,1,2,512,"RSA","Potential Loyalist"
"89",12447,26,276,92.93,3,1,1,311,"Belgium","About To Sleep"
"90",12448,22,77,130.94,5,1,1,511,"Spain","New Customers"
"91",12449,191,55,705.69,5,4,5,545,"Belgium","Loyal Customers"
"92",12450,8,189,12.94,4,1,1,411,"Spain","Promising"
"93",12451,355,43,868.18,5,5,5,555,"Switzerland","Loyal Customers"
"94",12452,23,49,99.67,5,1,1,511,"Switzerland","New Customers"
"95",12453,43,167,102.91,4,1,1,411,"Austria","Promising"
"96",12454,30,86,218.46,5,1,2,512,"Spain","Potential Loyalist"
"97",12455,90,106,285.6,5,2,2,522,"Cyprus","Potential Loyalist"
"98",12455,90,106,285.6,5,2,2,522,"Spain","Potential Loyalist"
"99",12456,129,77,461.37,5,3,3,533,"Switzerland","Potential Loyalist"
"100",12457,68,91,352.37,5,2,3,523,"Switzerland","Potential Loyalist"
"101",12457,68,91,352.37,5,2,3,523,"Cyprus","Potential Loyalist"
"102",12458,38,104,164.4,5,1,1,511,"Switzerland","New Customers"
"103",12461,35,127,149.06,4,1,1,411,"Switzerland","Promising"
"104",12462,72,35,332.42,5,2,2,522,"Spain","Potential Loyalist"
"105",12463,88,79,269.91,5,2,2,522,"Belgium","Potential Loyalist"
"106",12464,29,43,343.15,5,1,3,513,"Belgium","Potential Loyalist"
"107",12465,51,40,138.02,5,1,1,511,"Belgium","New Customers"
"108",12468,40,176,139.07,4,1,1,411,"Germany","Promising"
"109",12471,531,35,2266.87,5,5,5,555,"Germany","Loyal Customers"
"110",12472,391,63,970.12,5,5,5,555,"Germany","Loyal Customers"
"111",12473,179,62,2437.84,5,4,5,545,"Germany","Loyal Customers"
"112",12474,457,50,1331.7,5,5,5,555,"Germany","Loyal Customers"
"113",12475,36,86,105.88,5,1,1,511,"Germany","New Customers"
"114",12476,264,34,1306.93,5,5,5,555,"Germany","Loyal Customers"
"115",12477,308,55,1333.87,5,5,5,555,"Germany","Loyal Customers"
"116",12478,36,36,163.36,5,1,1,511,"Greece","New Customers"
"117",12479,35,36,91.43,5,1,1,511,"Germany","New Customers"
"118",12480,154,61,482.7,5,3,3,533,"Germany","Potential Loyalist"
"119",12481,218,55,741.44,5,4,5,545,"Germany","Loyal Customers"
"120",12483,81,50,484.21,5,2,3,523,"Sweden","Potential Loyalist"
"121",12484,350,65,1114.08,5,5,5,555,"Spain","Loyal Customers"
"122",12488,55,42,205.41,5,1,2,512,"France","Potential Loyalist"
"123",12489,15,369,88.62,1,1,1,111,"France","Lost Lowest"
"124",12490,245,38,659.75,5,5,4,554,"France","Loyal Customers"
"125",12491,26,71,87.8,5,1,1,511,"France","New Customers"
"126",12492,20,96,66.95,5,1,1,511,"Germany","New Customers"
"127",12493,23,198,111.75,4,1,1,411,"France","Promising"
"128",12494,84,42,351.94,5,2,3,523,"France","Potential Loyalist"
"129",12497,14,114,28.84,5,1,1,511,"Germany","New Customers"
"130",12498,23,54,96.55,5,1,1,511,"Germany","New Customers"
"131",12500,65,56,381.95,5,2,3,523,"Germany","Potential Loyalist"
"132",12501,160,348,387.32,2,3,3,233,"Germany","At Risk"
"133",12502,147,128,944.51,4,3,5,435,"Spain","Loyal Customers"
"134",12503,1,370,1126,1,1,5,115,"Spain","NULL"
"135",12504,15,51,141.7,5,1,1,511,"Germany","New Customers"
"136",12505,1,334,4.5,2,1,1,211,"Italy","Lost Lowest"
"137",12506,23,265,73.5,3,1,1,311,"France","About To Sleep"
"138",12507,23,167,106.37,4,1,1,411,"Spain","Promising"
"139",12508,69,59,118.71,5,2,1,521,"France","Potential Loyalist"
"140",12509,7,317,38.95,2,1,1,211,"France","Lost Lowest"
"141",12510,33,175,140.69,4,1,1,411,"Spain","Promising"
"142",12512,34,99,87.7,5,1,1,511,"Israel","New Customers"
"143",12513,36,117,80.57,4,1,1,411,"France","Promising"
"144",12514,51,300,168.14,2,1,1,211,"Italy","Lost Lowest"
"145",12515,16,386,108.5,1,1,1,111,"Italy","Lost Lowest"
"146",12516,26,110,70.87,5,1,1,511,"Germany","New Customers"
"147",12517,286,61,671.48,5,5,4,554,"Germany","Loyal Customers"
"148",12518,124,33,351.81,5,3,3,533,"Germany","Potential Loyalist"
"149",12519,18,96,53.84,5,1,1,511,"Germany","New Customers"
"150",12520,155,112,526.09,5,3,4,534,"Germany","Loyal Customers"
"151",12521,38,175,113.84,4,1,1,411,"Germany","Promising"
"152",12522,12,72,60.01,5,1,1,511,"Germany","New Customers"
"153",12523,110,34,567.36,5,2,4,524,"France","Recent High Spender"
"154",12524,144,42,420.06,5,3,3,533,"Germany","Potential Loyalist"
"155",12526,71,33,238.12,5,2,2,522,"Germany","Potential Loyalist"
"156",12527,18,114,52.73,5,1,1,511,"Germany","New Customers"
"157",12528,95,42,512.34,5,2,4,524,"Germany","Recent High Spender"
"158",12530,68,92,264.47,5,2,2,522,"Germany","Potential Loyalist"
"159",12531,17,47,64.76,5,1,1,511,"Germany","New Customers"
"160",12532,16,63,59.17,5,1,1,511,"France","New Customers"
"161",12534,63,163,191.23,4,2,2,422,"Germany","Potential Loyalist"
"162",12535,34,124,151.35,4,1,1,411,"France","Promising"
"163",12536,273,40,13255.22,5,5,5,555,"France","Loyal Customers"
"164",12538,21,62,76.51,5,1,1,511,"Spain","New Customers"
"165",12539,274,55,2856.04,5,5,5,555,"Spain","Loyal Customers"
"166",12540,481,52,1875.34,5,5,5,555,"Spain","Loyal Customers"
"167",12541,52,62,188.02,5,1,2,512,"Spain","Potential Loyalist"
"168",12544,20,62,82.27,5,1,1,511,"Spain","New Customers"
"169",12545,50,108,201.19,5,1,2,512,"Spain","Potential Loyalist"
"170",12546,70,79,222,5,2,2,522,"Spain","Potential Loyalist"
"171",12547,8,230,63.6,3,1,1,311,"Spain","About To Sleep"
"172",12548,5,199,33.6,4,1,1,411,"Spain","Promising"
"173",12550,57,112,176.15,5,1,2,512,"Spain","Potential Loyalist"
"174",12551,10,390,16.8,1,1,1,111,"Spain","Lost Lowest"
"175",12552,20,71,182.31,5,1,2,512,"Italy","Potential Loyalist"
"176",12553,196,41,617.78,5,4,4,544,"France","Loyal Customers"
"177",12556,121,83,322.14,5,3,2,532,"Spain","Potential Loyalist"
"178",12557,33,49,71.83,5,1,1,511,"Spain","New Customers"
"179",12558,22,34,27.5,5,1,1,511,"USA","New Customers"
"180",12559,22,343,87.28,2,1,1,211,"Germany","Lost Lowest"
"181",12560,111,38,315.8,5,2,2,522,"Germany","Potential Loyalist"
"182",12561,16,335,47.43,2,1,1,211,"Germany","Lost Lowest"
"183",12562,168,41,535.62,5,3,4,534,"France","Loyal Customers"
"184",12564,21,294,117.1,2,1,1,211,"France","Lost Lowest"
"185",12565,10,314,24.11,2,1,1,211,"Saudi Arabia","Lost Lowest"
"186",12566,20,105,79.12,5,1,1,511,"Germany","New Customers"
"187",12567,463,55,1557.35,5,5,5,555,"France","Loyal Customers"
"188",12569,191,35,1061.65,5,4,5,545,"Germany","Loyal Customers"
"189",12571,34,72,44.9,5,1,1,511,"France","New Customers"
"190",12572,62,41,269.37,5,2,2,522,"Germany","Potential Loyalist"
"191",12573,28,260,58.7,3,1,1,311,"France","About To Sleep"
"192",12574,11,348,57.2,2,1,1,211,"France","Lost Lowest"
"193",12576,89,68,214.55,5,2,2,522,"Poland","Potential Loyalist"
"194",12577,148,68,274.27,5,3,2,532,"France","Potential Loyalist"
"195",12578,120,54,373,5,3,3,533,"Italy","Potential Loyalist"
"196",12579,31,106,116.77,5,1,1,511,"France","New Customers"
"197",12580,24,279,62.58,3,1,1,311,"Germany","About To Sleep"
"198",12581,15,72,43.39,5,1,1,511,"Germany","New Customers"
"199",12582,22,271,115.1,3,1,1,311,"Finland","About To Sleep"
"200",12583,251,35,791.28,5,5,5,555,"France","Loyal Customers"
"201",12584,126,36,938.1,5,3,5,535,"Italy","Loyal Customers"
"202",12585,97,267,339.25,3,2,3,323,"Germany","Need Attention"
"203",12586,12,50,54.6,5,1,1,511,"Italy","New Customers"
"204",12587,4,40,46.24,5,1,1,511,"Finland","New Customers"
"205",12588,10,72,95.8,5,1,1,511,"Finland","New Customers"
"206",12589,35,61,157.6,5,1,1,511,"France","New Customers"
"207",12590,70,223,718.66,3,2,5,325,"Germany","NULL"
"208",12591,26,350,98.3,2,1,1,211,"Italy","Lost Lowest"
"209",12592,18,125,59.6,4,1,1,411,"Germany","Promising"
"210",12593,21,141,55.7,4,1,1,411,"France","Promising"
"211",12594,119,70,374.73,5,3,3,533,"Italy","Potential Loyalist"
"212",12596,27,84,118.95,5,1,1,511,"Spain","New Customers"
"213",12597,214,52,852.51,5,4,5,545,"Spain","Loyal Customers"
"214",12598,133,42,376.07,5,3,3,533,"France","Potential Loyalist"
"215",12599,62,62,185.77,5,2,2,522,"France","Potential Loyalist"
"216",12600,65,61,368.32,5,2,3,523,"Germany","Potential Loyalist"
"217",12601,29,222,189.81,3,1,2,312,"Germany","About To Sleep"
"218",12602,12,91,23.65,5,1,1,511,"France","New Customers"
"219",12603,3,54,28.95,5,1,1,511,"Germany","New Customers"
"220",12604,16,112,41.46,5,1,1,511,"France","New Customers"
"221",12605,3,398,5.4,1,1,1,111,"Germany","Lost Lowest"
"222",12607,202,91,435.86,5,4,3,543,"USA","Loyal Customers"
"223",12609,60,111,211.07,5,2,2,522,"Germany","Potential Loyalist"
"224",12610,111,55,545.77,5,2,4,524,"Italy","Recent High Spender"
"225",12611,65,85,173.88,5,2,2,522,"Italy","Potential Loyalist"
"226",12612,21,90,94.24,5,1,1,511,"Germany","New Customers"
"227",12613,163,64,477.71,5,3,3,533,"Germany","Potential Loyalist"
"228",12614,20,310,112.2,2,1,1,211,"Germany","Lost Lowest"
"229",12615,105,35,324.41,5,2,2,522,"France","Potential Loyalist"
"230",12616,36,118,145.95,4,1,1,411,"France","Promising"
"231",12617,42,62,79.93,5,1,1,511,"France","New Customers"
"232",12618,11,54,73.02,5,1,1,511,"Italy","New Customers"
"233",12619,95,49,1030.57,5,2,5,525,"Germany","NULL"
"234",12620,92,47,197.6,5,2,2,522,"France","Potential Loyalist"
"235",12621,474,34,1373.65,5,5,5,555,"Germany","Loyal Customers"
"236",12622,11,265,63.13,3,1,1,311,"Germany","About To Sleep"
"237",12623,18,309,47.32,2,1,1,211,"Germany","Lost Lowest"
"238",12624,38,139,147.14,4,1,1,411,"France","Promising"
"239",12625,91,244,210.64,3,2,2,322,"Germany","About To Sleep"
"240",12626,307,56,872,5,5,5,555,"Germany","Loyal Customers"
"241",12627,230,43,675.72,5,5,4,554,"Germany","Loyal Customers"
"242",12628,43,37,158.14,5,1,1,511,"Germany","New Customers"
"243",12630,64,42,287.13,5,2,2,522,"Finland","Potential Loyalist"
"244",12631,31,90,140.65,5,1,1,511,"Finland","New Customers"
"245",12633,103,91,327.28,5,2,2,522,"Germany","Potential Loyalist"
"246",12635,101,122,254.73,4,2,2,422,"Germany","Potential Loyalist"
"247",12637,394,100,1060.19,5,5,5,555,"France","Loyal Customers"
"248",12638,39,66,99.84,5,1,1,511,"Sweden","New Customers"
"249",12639,22,271,108.2,3,1,1,311,"Sweden","About To Sleep"
"250",12640,53,56,303,5,1,2,512,"France","Potential Loyalist"
"251",12641,10,148,69.65,4,1,1,411,"Sweden","Promising"
"252",12642,47,58,168.76,5,1,1,511,"Germany","New Customers"
"253",12643,24,161,124.51,4,1,1,411,"France","Promising"
"254",12644,31,162,86.94,4,1,1,411,"Germany","Promising"
"255",12645,74,66,192.26,5,2,2,522,"Germany","Potential Loyalist"
"256",12646,45,37,107.42,5,1,1,511,"USA","New Customers"
"257",12647,128,55,696.66,5,3,5,535,"Germany","Loyal Customers"
"258",12648,21,187,66.62,4,1,1,411,"Germany","Promising"
"259",12649,33,140,86.91,4,1,1,411,"Germany","Promising"
"260",12650,20,36,38.69,5,1,1,511,"France","New Customers"
"261",12651,9,367,20.2,1,1,1,111,"France","Lost Lowest"
"262",12652,51,355,144.52,2,1,1,211,"France","Lost Lowest"
"263",12653,43,181,111.41,4,1,1,411,"Israel","Promising"
"264",12654,38,43,167.98,5,1,1,511,"Germany","New Customers"
"265",12656,130,50,582.23,5,3,4,534,"France","Loyal Customers"
"266",12657,56,44,284.53,5,1,2,512,"France","Potential Loyalist"
"267",12658,36,51,148.12,5,1,1,511,"Germany","New Customers"
"268",12659,5,62,26.54,5,1,1,511,"France","New Customers"
"269",12660,13,44,50.25,5,1,1,511,"France","New Customers"
"270",12662,232,33,741.49,5,5,5,555,"Germany","Loyal Customers"
"271",12664,38,41,428.14,5,1,3,513,"Finland","Potential Loyalist"
"272",12665,4,357,21.75,2,1,1,211,"Germany","Lost Lowest"
"273",12666,2,392,8.06,1,1,1,111,"Israel","Lost Lowest"
"274",12667,33,91,119.6,5,1,1,511,"Finland","New Customers"
"275",12668,168,40,571.84,5,3,4,534,"Germany","Loyal Customers"
"276",12669,102,183,2524.18,4,2,5,425,"France","NULL"
"277",12670,94,43,301,5,2,2,522,"France","Potential Loyalist"
"278",12672,10,362,37.9,2,1,1,211,"France","Lost Lowest"
"279",12673,42,38,122.99,5,1,1,511,"Germany","New Customers"
"280",12674,91,44,290.68,5,2,2,522,"France","Potential Loyalist"
"281",12676,45,57,316.27,5,1,2,512,"Sweden","Potential Loyalist"
"282",12678,167,75,1084.87,5,3,5,535,"France","Loyal Customers"
"283",12679,56,85,215.13,5,1,2,512,"France","Potential Loyalist"
"284",12680,52,33,189.17,5,1,2,512,"France","Potential Loyalist"
"285",12681,646,47,2061.71,5,5,5,555,"France","Loyal Customers"
"286",12682,525,36,1968.83,5,5,5,555,"France","Loyal Customers"
"287",12683,362,37,1018.24,5,5,5,555,"France","Loyal Customers"
"288",12684,105,40,266.28,5,2,2,522,"France","Potential Loyalist"
"289",12685,157,61,482.15,5,3,3,533,"France","Potential Loyalist"
"290",12686,7,404,22.81,1,1,1,111,"France","Lost Lowest"
"291",12688,171,146,705.33,4,3,5,435,"Israel","Loyal Customers"
"292",12689,72,58,205.34,5,2,2,522,"France","Potential Loyalist"
"293",12690,16,238,88.43,3,1,1,311,"France","About To Sleep"
"294",12691,32,61,161.15,5,1,1,511,"France","New Customers"
"295",12693,41,153,225.87,4,1,2,412,"Germany","Potential Loyalist"
"296",12694,37,103,144.36,5,1,1,511,"France","New Customers"
"297",12695,27,40,129.21,5,1,1,511,"France","New Customers"
"298",12697,43,54,210.67,5,1,2,512,"Sweden","Potential Loyalist"
"299",12700,270,40,738.13,5,5,5,555,"France","Loyal Customers"
"300",12701,53,112,163.81,5,1,1,511,"Germany","New Customers"
"301",12702,12,52,65.3,5,1,1,511,"Germany","New Customers"
"302",12703,22,97,58.35,5,1,1,511,"Germany","New Customers"
"303",12704,90,40,645.7,5,2,4,524,"Finland","Recent High Spender"
"304",12705,348,48,984.25,5,5,5,555,"Germany","Loyal Customers"
"305",12707,33,324,106.81,2,1,1,211,"France","Lost Lowest"
"306",12708,174,62,724.47,5,4,5,545,"Germany","Loyal Customers"
"307",12709,257,36,966.07,5,5,5,555,"Germany","Loyal Customers"
"308",12710,79,129,227.77,4,2,2,422,"Germany","Potential Loyalist"
"309",12712,142,55,939.13,5,3,5,535,"Germany","Loyal Customers"
"310",12713,38,33,95.13,5,1,1,511,"Germany","New Customers"
"311",12714,259,42,619.5,5,5,4,554,"France","Loyal Customers"
"312",12715,21,139,71.44,4,1,1,411,"Sweden","Promising"
"313",12716,69,36,183.94,5,2,2,522,"France","Potential Loyalist"
"314",12717,56,184,306.85,4,1,2,412,"Greece","Potential Loyalist"
"315",12718,19,104,51.72,5,1,1,511,"France","New Customers"
"316",12719,42,38,149.5,5,1,1,511,"France","New Customers"
"317",12720,359,35,987.06,5,5,5,555,"Germany","Loyal Customers"
"318",12721,164,64,509.48,5,3,4,534,"France","Loyal Customers"
"319",12722,57,118,251.27,4,1,2,412,"France","Potential Loyalist"
"320",12723,69,36,220.96,5,2,2,522,"France","Potential Loyalist"
"321",12724,53,38,197.22,5,1,2,512,"France","Potential Loyalist"
"322",12725,24,404,98.5,1,1,1,111,"Italy","Lost Lowest"
"323",12726,124,61,261.23,5,3,2,532,"France","Potential Loyalist"
"324",12727,141,43,466.43,5,3,3,533,"France","Potential Loyalist"
"325",12728,46,104,214.79,5,1,2,512,"France","Potential Loyalist"
"326",12729,26,146,96.24,4,1,1,411,"France","Promising"
"327",12731,277,56,930.75,5,5,5,555,"France","Loyal Customers"
"328",12732,12,212,42.27,3,1,1,311,"France","About To Sleep"
"329",12733,22,267,74.2,3,1,1,311,"USA","About To Sleep"
"330",12734,4,385,4.74,1,1,1,111,"France","Lost Lowest"
"331",12735,43,348,232.9,2,1,2,212,"France","Lost Lowest"
"332",12736,4,365,22.32,2,1,1,211,"France","Lost Lowest"
"333",12738,11,405,43.45,1,1,1,111,"Germany","Lost Lowest"
"334",12739,38,111,152.32,5,1,1,511,"United Arab Emirates","New Customers"
"335",12740,27,96,56,5,1,1,511,"France","New Customers"
"336",12743,134,167,407.17,4,3,3,433,"Unspecified","Potential Loyalist"
"337",12744,229,84,25108.89,5,4,5,545,"Singapore","Loyal Customers"
"338",12747,103,35,449.89,5,2,3,523,"United Kingdom","Potential Loyalist"
"339",12748,4642,33,15115.6,5,5,5,555,"United Kingdom","Loyal Customers"
"340",12749,231,36,1171.5,5,5,5,555,"United Kingdom","Loyal Customers"
"341",12750,15,161,69.3,4,1,1,411,"Poland","Promising"
"342",12752,53,114,121.59,5,1,1,511,"Norway","New Customers"
"343",12753,230,36,536.39,5,5,4,554,"Japan","Loyal Customers"
"344",12754,65,268,132.5,3,2,1,321,"Japan","About To Sleep"
"345",12755,6,282,40.2,3,1,1,311,"Japan","About To Sleep"
"346",12756,4,119,2.97,4,1,1,411,"Japan","Promising"
"347",12757,377,48,8035.24,5,5,5,555,"Portugal","Loyal Customers"
"348",12758,97,149,164.96,4,2,1,421,"Portugal","Potential Loyalist"
"349",12759,95,85,305.47,5,2,2,522,"Netherlands","Potential Loyalist"
"350",12762,69,40,188.79,5,2,2,522,"Portugal","Potential Loyalist"
"351",12763,18,171,31.89,4,1,1,411,"Japan","Promising"
"352",12764,45,349,242.44,2,1,2,212,"Lebanon","Lost Lowest"
"353",12766,310,36,951.95,5,5,5,555,"Portugal","Loyal Customers"
"354",12769,32,271,142.6,3,1,1,311,"Brazil","About To Sleep"
"355",12770,12,243,31.5,3,1,1,311,"Japan","About To Sleep"
"356",12772,55,92,203.54,5,1,2,512,"Portugal","Potential Loyalist"
"357",12775,67,50,257.57,5,2,2,522,"Netherlands","Potential Loyalist"
"358",12778,51,52,193.47,5,1,2,512,"Netherlands","Potential Loyalist"
"359",12779,159,54,586.61,5,3,4,534,"Poland","Loyal Customers"
"360",12781,30,54,88.15,5,1,1,511,"Czech Republic","New Customers"
"361",12782,107,37,405.36,5,2,3,523,"Portugal","Potential Loyalist"
"362",12783,86,35,1649.24,5,2,5,525,"Portugal","NULL"
"363",12784,59,42,165.29,5,2,1,521,"Portugal","Potential Loyalist"
"364",12785,15,35,69.68,5,1,1,511,"Portugal","New Customers"
"365",12787,20,42,79.96,5,1,1,511,"Netherlands","New Customers"
"366",12789,4,98,91.85,5,1,1,511,"Netherlands","New Customers"
"367",12790,21,225,82.92,3,1,1,311,"Netherlands","About To Sleep"
"368",12791,2,406,16.85,1,1,1,111,"Netherlands","Lost Lowest"
"369",12792,25,289,87.74,2,1,1,211,"Portugal","Lost Lowest"
"370",12793,24,367,93.84,1,1,1,111,"Portugal","Lost Lowest"
"371",12794,45,86,93.47,5,1,1,511,"Portugal","New Customers"
"372",12795,14,51,107.73,5,1,1,511,"Portugal","New Customers"
"373",12797,17,393,75.57,1,1,1,111,"Portugal","Lost Lowest"
"374",12798,8,43,8.38,5,1,1,511,"Japan","New Customers"
"375",12802,26,216,64.25,3,1,1,311,"Netherlands","About To Sleep"
"376",12808,28,69,113.29,5,1,1,511,"Portugal","New Customers"
"377",12809,26,201,115.18,3,1,1,311,"Portugal","About To Sleep"
"378",12811,31,293,127.8,2,1,1,211,"Portugal","Lost Lowest"
"379",12812,15,77,31.03,5,1,1,511,"Japan","New Customers"
"380",12814,2,134,41.79,4,1,1,411,"Poland","Promising"
"381",12815,47,180,253.87,4,1,2,412,"Poland","Potential Loyalist"
"382",12816,29,128,256.15,4,1,2,412,"Poland","Potential Loyalist"
"383",12817,4,314,48.29,2,1,1,211,"Austria","Lost Lowest"
"384",12818,16,211,101.77,3,1,1,311,"Austria","About To Sleep"
"385",12820,59,36,112.38,5,2,1,521,"United Kingdom","Potential Loyalist"
"386",12821,6,247,14.99,3,1,1,311,"United Kingdom","About To Sleep"
"387",12822,47,103,138.81,5,1,1,511,"United Kingdom","New Customers"
"388",12823,5,107,38.25,5,1,1,511,"United Kingdom","New Customers"
"389",12824,25,92,63.39,5,1,1,511,"United Kingdom","New Customers"
"390",12826,94,35,180.37,5,2,2,522,"United Kingdom","Potential Loyalist"
"391",12827,25,38,71.7,5,1,1,511,"United Kingdom","New Customers"
"392",12828,56,35,173.04,5,1,2,512,"United Kingdom","Potential Loyalist"
"393",12829,12,355,154,2,1,1,211,"United Kingdom","Lost Lowest"
"394",12830,39,70,107.52,5,1,1,511,"United Kingdom","New Customers"
"395",12831,9,295,27.6,2,1,1,211,"United Kingdom","Lost Lowest"
